Name_domain,Product_name,Region,Country,Average_rating,Number_of_rates,Price,Type
Premius,Bordeaux Rosé 2021,Bordeaux,France,3.6,228,4.09,Rose
Château de Lavagnac,Bordeaux 2015,Bordeaux,France,3.6,75,4.1,Red
Château de Millet,Colombard - Ugni Blanc 2022,Côtes de Gascogne,France,3.6,759,4.49,White
Camina,Chardonnay - Viura 2021,La Mancha,Spain,3.6,25,4.5,White
Vinovalie,Les Blousons Noirs Malbec 2020,Cahors,France,3.6,250,4.5,Red
Château de Callac,Graves Rouge 2011,Graves,France,3.6,218,4.5,Red
Camina,Tempranillo Rosé 2018,La Mancha,Spain,3.3,186,4.5,Rose
Duchesse de Berry,Cuvée Prestige Bordeaux 2020,Bordeaux,France,3.3,719,4.71,Red
Domaine du Tariquet,Côtes De Gascogne Classic 2018,Côtes de Gascogne,France,3.5,1261,4.77,White
Château Haut Bernin,Bordeaux 2015,Bordeaux,France,3.3,64,4.9,Red
Château de Brandey,Bordeaux Rouge 2015,Bordeaux,France,3.6,327,4.9,Red
Château des Léotins,Bordeaux Rouge 2020,Bordeaux,France,3.4,32,4.9,Red
Château Coustaut la Grangeotte,Bordeaux Rouge 2019,Bordeaux,France,3.5,199,4.95,Red
Château de Callac,Graves Rouge 2013,Graves,France,3.7,74,4.95,Red
Château La Fleur Saint-Jean,Bordeaux 2009,Bordeaux,France,3.6,152,4.95,Red
Yvon Mau,Revelations d'Hubert de Bouard Château Boutillot Bordeaux 2017,Bordeaux,France,3.4,62,5.0,Red
Vignerons Catalans,4 Saisons Cabernet Sauvignon 2021,Pays d'Oc,France,3.4,276,5.0,Red
Vignerons Catalans,4 Saisons Merlot 2021,Pays d'Oc,France,3.6,241,5.0,Red
Vignerons Catalans,4 Saisons Cabernet Rosé 2022,Pays d'Oc,France,3.4,119,5.0,Rose
Les Vignerons des Albères,Muscat Sec 2022,Côtes Catalanes,France,3.6,69,5.05,White
Les Vignerons des Albères,Malicieuse Syrah 2022,Côtes Catalanes,France,3.3,37,5.05,Red
Arnaud de Villeneuve,To Bi Or Not To Bi Macabeu - Grenache 2022,Côtes Catalanes,France,3.3,36,5.2,White
Arnaud de Villeneuve,To Bi or Not To Bi Merlot - Grenache 2022,Languedoc,France,3.3,70,5.2,Red
Arnaud de Villeneuve,To Bi Or Not To Bi Rosé 2022,Côtes Catalanes,France,3.3,39,5.2,Rose
Santa Írene,Malbec 2019,Mendoza,Argentina,3.2,34,5.4,Red
Foncalieu,Les Cardounettes Rouge 2017,Pays d'Oc,France,3.2,91,5.4,Red
Marquille,Bordeaux Rouge 2014,Bordeaux,France,2.6,103,5.4,Red
Plaimont,Les Bastions Blanc 2019,Saint-Mont,France,3.6,59,5.4,White
Foncalieu,Les Cardounettes Rouge 2018,Pays d'Oc,France,3.3,38,5.4,Red
Premius,Bordeaux Rosé 2022,Bordeaux,France,3.6,228,5.45,Rose
Château La Galante,Bordeaux Supérieur 2019,Bordeaux Supérieur,France,3.5,310,5.45,Red
Premius,Sauvignon Bordeaux 2021,Bordeaux,France,3.6,927,5.45,White
Cielo e Terra,Pinot Grigio Blush 2022,delle Venezie,Italy,3.8,87,5.49,Rose
Pierrick Harang,Le Petit Balthazar Merlot 2021,Pays d'Oc,France,2.9,27,5.5,Red
Freixenet,Sauvignon Blanc 2020,Vino de España,Spain,3.5,109,5.5,White
Château Boisson,Bordeaux Blanc 2021,Bordeaux,France,3.8,195,5.5,White
Pierrick Harang,Le Petit Balthazar Viognier - Sauvignon Blanc 2022,Pays d'Oc,France,3.6,889,5.5,White
Freixenet,Cabernet Sauvignon 2020,Vino de España,Spain,3.4,60,5.5,Red
Piaugier,Les Ramières 2022,Vaucluse,France,3.6,83,5.5,Red
Les Vignerons des Albères,Chardonnay 2022,Côtes Catalanes,France,3.6,118,5.6,White
Vignerons Catalans,4 Saisons Chardonnay 2022,Pays d'Oc,France,3.7,243,5.6,White
Château des Léotins,Bordeaux Rouge 2017,Bordeaux,France,3.6,119,5.61,Red
Les Vignerons des Albères,Vieilles Vignes Grenache 2021,Côtes Catalanes,France,3.8,79,5.65,Red
Château Saint-Florin,Bordeaux Blanc 2019,Bordeaux,France,3.4,417,5.7,White
Château Valentin,Blaye - Côtes de Bordeaux 2017,Blaye - Côtes de Bordeaux,France,3.6,412,5.7,Red
Château Grand Rousseau,Bordeaux 2020,Bordeaux,France,3.5,1216,5.71,Red
Abbe Rous,Malis Rouge 2021,Côtes du Roussillon,France,3.5,138,5.75,Red
Vignerons de Tautavel Vingrau,Le Cirque Rouge 2021,Côtes Catalanes,France,3.6,27,5.75,Red
Vignerons de Tautavel Vingrau,Le Cirque Rosé 2022,Côtes Catalanes,France,3.4,181,5.75,Rose
Vignerons de Tautavel Vingrau,Le Cirque Grenache Gris 2022,Côtes Catalanes,France,3.5,1066,5.75,White
Abbe Rous,Malis Rosé 2022,Côtes du Roussillon,France,3.0,60,5.75,Rose
Maison Le Jeune,Le Coq & L'Arlequin 2017,Pays d'Oc,France,4.1,70,5.76,Rose
Château Bousquet,Graves Blanc 2016,Graves,France,3.4,55,5.76,White
Plaimont,Saint-Mont Un Pas de Côté 2017,Saint-Mont,France,3.4,36,5.85,Red
Marrenon,Amountanage Blanc 2018,Luberon,France,3.5,57,5.85,White
Los Medanos,Chardonnay 2019,Mendoza,Argentina,3.3,196,5.88,White
Deprade Jorda,Prémices Chardonnay 2022,Côtes Catalanes,France,3.4,38,5.9,White
Château Montesquieu des Albères,Côtes du Roussillon Rouge 2022,Côtes du Roussillon,France,3.8,27,5.9,Red
Uby,No. 7 Tannat - Merlot 2022,Côtes de Gascogne,France,3.6,1672,5.9,Red
Uby,No. 7 Tannat - Merlot 2018,Côtes de Gascogne,France,3.6,263,5.9,Red
Château Valentin,Blaye - Côtes de Bordeaux 2018,Blaye - Côtes de Bordeaux,France,3.6,412,5.9,Red
Deprade Jorda,Prémices Rosé 2022,Côtes Catalanes,France,3.5,64,5.9,Rose
Château Clamens,Le Petit Clamens 2021,South West France,France,3.5,122,5.9,Red
Demon Noir,Blanc Fruité 2021,South West France,France,3.7,231,5.9,White
Château de l'Esperance,Bordeaux Rosé 2022,Bordeaux,France,3.7,39,5.93,Rose
Château de Callac,Graves Rouge 2014,Graves,France,3.7,108,5.94,Red
Château Grand Rousseau,Bordeaux 2021,Bordeaux,France,3.5,1216,5.94,Red
Uby,No. 3 Colombard - Sauvignon 2022,Côtes de Gascogne,France,4.0,185,5.94,White
Chateau de Sérame,Esprit de Sérame Chardonnay 2015,Pays d'Oc,France,3.3,192,5.94,White
Hardys,Varietal Range Chardonnay 2010,South Eastern Australia,Australia,3.1,68,5.95,White
Freixenet,Cava Cordón Negro Brut,Cava,Spain,3.6,18487,5.95,Sparkling
Château des Léotins,Château les Terrasses de Bouey Bordeaux 2021,Bordeaux,France,3.2,440,5.98,Red
Marrenon,Les Grains Pinot Noir Cuvée Rare 2017,Vin de Pays,France,3.4,127,5.99,Red
Château de Bellevue,La Croix Picot Savennières Blanc 2021,Savennières,France,3.8,204,6.0,White
Château Gabelot,Entre-deux-Mers 2022,Entre-deux-Mers,France,3.8,93,6.0,White
Marrenon,Les Grains Chardonnay 2018,Méditerranée,France,3.8,72,6.0,White
Château Ferreyres,Les Silex Bordeaux Rouge 2019,Bordeaux,France,3.6,77,6.0,Red
Château Galau,Côtes de Bourg 2019,Côtes de Bourg,France,3.6,615,6.0,Red
Château d'Auzanet,Cuvée des Abeilles Bordeaux 2018,Bordeaux,France,3.2,31,6.0,Red
Domaine la Croix Belle,Caringole Rosé 2021,Côtes de Thongue,France,3.8,706,6.0,Rose
Château Galau,Côtes de Bourg 2018,Côtes de Bourg,France,3.6,59,6.0,Red
Château Galau,Côtes de Bourg 2017,Côtes de Bourg,France,3.6,38,6.0,Red
